index, uuid, name, driver_version, pstate, temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
0, GPU-87c39f5e-618e-9ab7-4cb9-1491aac9cbc3, NVIDIA GeForce RTX 5090, 575.57.08, P1, 73, 2775 MHz, 13801 MHz, 567.24 W, 99 %, 204 MiB
1, GPU-d0f2fbdc-1170-600c-8c09-d2cb7db6f8ad, NVIDIA GeForce RTX 5090, 575.57.08, P8, 55, 24 MHz, 405 MHz, 30.37 W, 0 %, 134 MiB
